Block,Average Revenue,Total Revenue,Ride Count
40.72 -73.595,155.89,467.66,3
40.6 -74.15,20.8,20.8,1
40.96 -74.045,62.87,188.6,3
40.715 -74.29,97.18,194.35,2
41.195 -73.965,165.3,165.3,1
40.845 -74.11,71.42,856.99,12
40.6 -74.08,22.76,159.35,7
40.665 -73.86,17.15,102.9,6
39.65 -72.555,7.3,7.3,1
41.105 -73.705,0.31,0.31,1
40.785 -74.49,99.8,199.6,2
40.555 -74.205,52.05,104.1,2
40.695 -74.13,11.3,11.3,1
40.89 -74.365,41.55,124.66,3
40.67 -73.71,19.97,59.9,3
40.765 -73.695,36.33,181.66,5
40.46 -73.83,6.96,6.96,1
40.705 -73.97,15.7,2151.08,137
40.86 -73.925,19.98,17179.66,860
41.82 -76.11,21.36,21.36,1
40.825 -73.93,18.3,6074.47,332
40.795 -74.48,194.49,777.95,4
40.795 -74.015,36.96,702.21,19
40.68 -73.76,19.14,267.96,14
40.82 -73.88,13.89,444.62,32
40.66 -74.055,15.98,127.82,8
41.09 -74.15,9.96,9.96,1
40.625 -73.765,22.05,132.3,6
40.77 -73.835,24.95,6761.53,271
40.785 -73.815,21.11,84.45,4
40.62 -74.1,38.34,153.36,4
46.76 -77.955,5.8,5.8,1
29.815 -59.48,12.36,12.36,1
40.73 -73.985,14.35,8292514.8,577709
31.14 -96.525,23.3,23.3,1
40.715 -73.595,117.38,234.76,2
40.875 -73.325,170.3,170.3,1
40.74 -1.215,13.56,13.56,1
40.735 -74.115,22.56,22.56,1
40.905 -73.335,165.55,331.1,2
40.76 -73.635,98.7,394.79,4
40.935 -73.96,82.63,165.26,2
41.025 -73.53,227.71,227.71,1
40.395 -74.37,4.05,8.1,2
40.685 -73.42,155.15,155.15,1
40.775 -74.07,3.8,3.8,1
40.78 -74.445,215.86,1295.15,6
38.79 -78.04,16.8,16.8,1
41.005 -74.1,110.3,110.3,1
40.78 -74.425,138.3,138.3,1
40.675 -73.925,19.59,6133.1,313
40.725 -73.81,12.08,579.8,48
40.71 -73.435,3.8,3.8,1
40.23 -73.37,16.3,16.3,1
40.68 -73.86,21.29,1873.56,88
43.475 -70.715,12.8,12.8,1
40.65 -73.985,17.48,104.89,6
40.69 -73.445,32.8,32.8,1
40.75 -74.35,17.87,17.87,1
50.77 -75.47,11.16,11.16,1
41.145 -74.115,8.3,8.3,1
40.66 -74.005,23.24,1812.69,78
41.005 -73.75,120.13,120.13,1
40.63 -73.915,10.63,63.8,6
40.745 -73.645,86.75,173.51,2
40.88 -73.375,90.3,90.3,1
35.71 -55.67,6.0,6.0,1
40.955 -73.845,115.62,346.85,3
40.625 -74.215,110.8,221.6,2
40.9 -73.465,155.84,155.84,1
40.59 -73.69,23.8,23.8,1
33.78 -77.115,49.84,49.84,1
40.595 -73.98,17.74,709.6,40
40.785 -73.45,150.3,150.3,1
40.905 -73.85,25.38,634.61,25
40.815 -74.445,0.3,0.3,1
40.82 -73.835,39.62,911.23,23
40.73 -73.765,11.8,11.8,1
40.595 -74.095,11.8,11.8,1
40.58 -73.98,29.06,290.58,10
40.92 -74.04,93.26,466.31,5
40.575 -73.995,25.07,576.71,23
40.615 -74.145,51.3,153.9,3
40.595 -73.685,18.63,55.9,3
41.095 -74.155,160.31,160.31,1
41.065 -73.595,242.3,242.3,1
40.72 -74.155,120.03,240.05,2
40.705 -73.895,17.08,4833.05,283
40.805 -73.57,111.95,111.95,1
40.77 -74.285,120.3,120.3,1
42.69 -33.815,58.34,58.34,1
40.98 -73.685,150.3,300.6,2
40.785 -74.1,14.94,29.88,2
41.085 -74.01,20.8,20.8,1
40.705 -73.825,22.82,1574.29,69
40.775 -73.735,47.86,526.42,11
40.615 -74.22,6.3,6.3,1
40.79 -73.955,13.67,2064201.2,151041
46.595 -82.455,11.76,11.76,1
40.765 -73.895,30.8,60468.32,1963
40.54 -74.15,10.8,10.8,1
40.805 -74.085,13.8,13.8,1
40.94 -74.13,128.45,770.71,6
40.915 -73.97,87.92,175.85,2
40.835 -73.69,135.3,135.3,1
41.385 -75.24,3.8,3.8,1
40.88 -74.05,111.42,445.69,4
40.655 -74.095,5.3,5.3,1
40.86 -73.505,200.38,200.38,1
40.72 -74.135,62.89,817.58,13
40.675 -73.87,19.38,3817.93,197
40.685 -73.77,24.74,247.42,10
40.735 -73.94,14.85,2450.39,165
41.025 -73.69,130.8,130.8,1
40.67 -74.3,167.3,167.3,1
40.825 -74.015,12.81,76.86,6
40.705 -73.545,72.36,72.36,1
40.91 -73.98,60.65,121.3,2
40.905 -74.07,127.56,127.56,1
40.975 -73.89,98.23,589.41,6
40.735 -759.235,12.8,12.8,1
40.87 -74.45,121.53,243.05,2
40.625 -73.575,8.16,8.16,1
40.655 -73.975,17.62,7857.48,446
40.755 -74.15,81.94,327.76,4
3.775 -140.58,16.0,16.0,1
40.835 -74.035,8.58,17.16,2
40.725 -74.065,48.01,4944.88,103
40.83 -74.145,63.32,189.95,3
40.71 -74.3,75.3,225.9,3
40.51 -74.245,75.3,75.3,1
40.915 -74.145,14.83,29.66,2
40.87 -74.075,162.89,162.89,1
40.855 -73.79,22.84,502.39,22
40.705 -73.915,17.48,7550.94,432
40.7 -74.225,69.83,139.66,2
40.985 -73.785,39.09,117.26,3
40.655 -74.075,14.3,28.6,2
40.81 -74.495,2.92,2.92,1
40.695 -73.595,10.3,10.3,1
40.765 -74.09,22.98,45.96,2
40.655 -73.78,54.76,547.61,10
40.69 -73.435,47.3,47.3,1
40.72 -73.495,0.3,0.3,1
40.845 -73.79,16.3,16.3,1
40.905 -74.1,118.89,1188.9,10
40.49 -74.44,241.3,241.3,1
18.85 -52.76,7.3,7.3,1
40.57 -74.095,44.66,89.32,2
40.735 -74.225,12.3,12.3,1
39.82 -73.625,13.78,27.56,2
40.965 -73.99,7.46,14.91,2
40.81 -74.155,14.76,14.76,1
40.635 -73.92,20.02,1001.23,50
40.865 -74.09,80.3,80.3,1
38.995 -77.345,250.8,250.8,1
41.035 -74.075,173.48,520.44,3
40.67 -73.66,58.34,58.34,1
40.895 -74.435,160.3,160.3,1
40.72 -73.89,16.5,1435.15,87
40.675 -73.93,16.05,9212.57,574
40.93 -73.735,90.3,180.6,2
40.81 -74.065,30.33,121.31,4
40.695 -73.57,131.3,131.3,1
40.895 -74.325,10.3,10.3,1
40.79 -74.16,9.36,9.36,1
40.89 -74.045,89.24,178.48,2
40.755 -74.21,114.05,228.1,2
40.19 -73.825,6.96,6.96,1
40.81 -73.24,94.97,189.93,2
40.615 -74.015,16.42,722.45,44
40.815 -73.975,14.34,229.49,16
40.63 -73.63,85.3,85.3,1
40.66 -73.965,18.09,9246.46,511
40.705 -74.18,46.63,3124.2,67
40.76 -74.2,17.76,17.76,1
41.075 -73.77,18.35,18.35,1
40.545 -74.41,330.3,330.3,1
40.815 -73.405,43.47,260.8,6
40.585 -74.09,35.38,212.3,6
45.12 -81.75,6.3,6.3,1
40.715 -73.88,14.97,838.2,56
40.715 -73.82,22.96,5006.16,218
40.75 -73.86,12.29,5541.19,451
40.525 -74.455,9.35,9.35,1
41.115 -74.115,213.09,213.09,1
40.825 -73.965,10.39,93.47,9
40.765 -73.885,26.43,39457.91,1493
40.78 -73.34,175.24,350.48,2
40.28 -74.81,10.79,10.79,1
40.725 -73.87,18.44,10254.66,556
41.06 -73.51,150.3,150.3,1
40.835 -73.45,126.8,126.8,1
14.35 -78.28,18.36,18.36,1
40.875 -73.885,14.18,1502.87,106
41.65 -73.93,460.3,460.3,1
40.695 -74.195,5.8,5.8,1
40.88 -73.815,190.46,380.91,2
40.84 -73.875,16.91,3144.64,186
40.61 -74.18,5.8,5.8,1
47.04 -76.815,15.8,15.8,1
40.59 -74.28,37.4,37.4,1
37.745 -78.695,14.3,14.3,1
40.89 -73.95,96.31,385.24,4
40.735 -74.385,0.3,0.3,1
40.955 -73.745,68.1,340.51,5
40.755 -73.55,64.32,385.89,6
40.91 -73.79,3.8,3.8,1
40.68 -73.72,86.45,172.9,2
40.735 -74.09,66.54,465.76,7
40.585 -80.72,13.3,13.3,1
40.715 -73.7,33.32,99.95,3
40.805 -73.86,14.3,14.3,1
40.725 -73.7,16.8,33.6,2
40.87 -74.405,215.59,215.59,1
40.755 -74.27,164.8,329.6,2
40.945 -73.99,120.3,120.3,1
40.8 -74.08,10.8,21.6,2
40.06 -73.345,5.8,5.8,1
40.92 -74.145,42.05,84.1,2
40.655 -73.88,17.54,210.43,12
40.995 -74.16,176.75,176.75,1
40.9 -73.42,200.3,200.3,1
40.645 -73.82,43.8,43.8,1
40.765 -74.41,86.87,260.6,3
40.86 -74.17,109.3,218.6,2
40.985 -73.975,126.8,126.8,1
41.22 -73.52,256.3,256.3,1
41.4 -73.93,282.25,282.25,1
40.755 -73.705,51.48,566.3,11
40.7 -74.025,20.43,388.12,19
41.03 -73.525,120.3,120.3,1
40.955 -73.755,140.82,563.28,4
40.805 -73.47,68.82,137.64,2
40.34 -74.1,150.3,150.3,1
41.425 -73.405,191.3,191.3,1
40.68 -74.19,142.03,710.13,5
40.675 -73.97,16.82,241184.62,14338
40.695 -74.255,49.63,99.26,2
40.74 -74.31,167.07,334.15,2
40.695 -73.875,16.1,96.58,6
40.865 -74.335,8.8,8.8,1
57.11 -10.43,12.3,12.3,1
40.8 -73.655,57.8,57.8,1
40.785 -73.965,13.91,28823.28,2072
40.75 -73.725,17.05,68.2,4
39.33 -64.655,13.39,13.39,1
40.62 -73.8,10.56,10.56,1
40.59 -73.925,42.58,127.73,3
47.13 -72.095,15.8,15.8,1
40.53 -74.43,85.56,171.11,2
47.685 -64.905,54.84,54.84,1
38.25 -78.045,16.56,16.56,1
40.685 -73.475,99.3,99.3,1
40.85 -74.15,3.8,3.8,1
36.44 -71.025,21.3,21.3,1
40.73 -74.2,11.8,11.8,1
40.21 -73.775,23.3,23.3,1
40.695 -73.705,59.3,59.3,1
40.67 -74.125,11.15,33.46,3
41.86 -73.915,496.3,496.3,1
40.9 -74.195,6.8,6.8,1
40.84 -73.49,46.8,93.6,2
40.635 -74.1,38.48,115.45,3
40.675 -73.77,37.46,486.97,13
40.705 -73.725,30.97,371.6,12
41.175 -74.135,12.96,12.96,1
33.68 -72.48,12.3,12.3,1
40.91 -73.99,160.56,160.56,1
41.06 -73.545,177.13,708.53,4
40.77 -73.88,51.99,147602.3,2839
47.635 -71.485,30.96,30.96,1
40.72 -73.775,20.34,284.78,14
41.035 -73.77,128.77,7210.84,56
40.85 -73.99,72.19,288.77,4
40.93 -73.875,6.8,6.8,1
40.585 -74.1,33.8,33.8,1
40.78 -73.805,25.01,400.23,16
49.39 -74.94,10.3,10.3,1
40.76 -74.0,14.67,3673229.42,250463
404.7 -73.985,18.8,18.8,1
40.85 -73.61,100.74,100.74,1
40.47 -73.97,11.16,11.16,1
40.665 -74.27,40.06,120.18,3
40.65 -73.91,16.17,193.99,12
40.675 -74.19,89.72,717.73,8
40.985 -74.07,220.31,220.31,1
40.69 -73.855,23.94,670.38,28
40.72 -74.315,132.36,132.36,1
38.375 -78.595,9.3,9.3,1
40.575 -74.325,78.35,78.35,1
40.75 -73.885,13.08,75110.96,5743
40.785 -74.105,14.77,44.32,3
34.18 -71.645,11.76,11.76,1
40.675 -73.74,16.42,131.4,8
40.56 -74.11,71.55,143.1,2
40.73 -73.545,89.44,89.44,1
40.87 -73.845,17.87,804.1,45
40.655 -73.885,16.39,672.16,41
40.665 -73.865,15.55,108.86,7
40.905 -73.79,121.03,484.1,4
40.62 -74.165,53.26,53.26,1
40.685 -73.59,1224.7,6123.49,5
33.69 -82.715,6.8,6.8,1
40.715 -73.59,68.3,136.6,2
40.835 -74.075,105.3,105.3,1
40.84 -73.7,0.3,0.3,1
41.07 -74.18,14.12,14.12,1
29.12 -71.775,17.3,17.3,1
40.625 -74.03,20.47,9168.95,448
40.76 -73.87,18.39,5001.46,272
40.99 -73.675,5.84,5.84,1
37.2 -73.785,11.16,11.16,1
40.615 -73.735,93.13,931.29,10
40.76 -73.58,95.3,95.3,1
40.675 -73.91,17.51,7335.63,419
40.69 -73.985,16.95,247822.22,14620
37.595 -62.185,11.3,11.3,1
40.66 -73.695,59.96,359.76,6
40.555 -74.22,33.3,33.3,1
40.85 -73.725,103.3,103.3,1
40.57 -73.98,6.3,6.3,1
40.905 -74.0,122.22,366.66,3
40.795 -73.8,34.79,208.76,6
41.375 -73.96,320.55,641.1,2
40.92 -73.825,79.07,395.35,5
40.82 -73.685,105.8,105.8,1
46.26 -62.74,11.76,11.76,1
40.695 -74.365,9.3,9.3,1
40.945 -73.765,120.48,120.48,1
40.77 -74.3,155.8,155.8,1
40.665 -73.565,167.3,167.3,1
40.85 -74.01,83.75,83.75,1
40.98 -73.74,129.47,388.4,3
40.595 -74.235,85.47,256.4,3
40.895 -74.21,100.31,100.31,1
40.38 -74.58,313.63,627.26,2
40.565 -74.495,193.44,386.89,2
40.6 -74.27,4.3,4.3,1
41.86 -83.35,7.8,7.8,1
40.83 -74.215,114.66,114.66,1
41.265 -73.675,250.3,250.3,1
41.145 -73.265,3.8,3.8,1
40.525 -74.405,236.3,472.6,2
41.12 -73.52,0.3,0.3,1
46.505 -86.79,27.3,27.3,1
40.7 -73.92,14.79,33533.76,2268
40.76 -1.235,18.36,18.36,1
40.85 -74.215,7.24,7.24,1
40.59 -73.74,11.42,216.9,19
40.75 -73.995,14.83,15788936.69,1064593
40.975 -73.72,126.68,506.71,4
40.685 -73.99,16.67,390191.44,23411
40.93 -73.815,113.8,113.8,1
40.69 -74.3,11.3,11.3,1
40.765 -73.85,41.34,248.03,6
41.02 -74.21,68.3,68.3,1
40.755 -73.695,81.39,569.7,7
40.785 -73.975,13.14,4921087.2,374527
40.29 -74.535,56.18,224.71,4
40.73 -74.03,61.3,13302.41,217
40.855 -73.875,38.6,386.03,10
41.0 -74.23,16.8,16.8,1
40.8 -73.385,100.3,300.9,3
40.905 -74.41,239.75,239.75,1
40.785 -74.065,23.08,207.71,9
40.47 -74.09,14.76,14.76,1
40.595 -74.16,17.59,35.18,2
40.925 -73.95,98.75,98.75,1
41.395 -73.525,354.57,709.14,2
40.445 -74.295,120.3,120.3,1
40.84 -74.34,11.59,34.76,3
40.67 -73.64,20.37,81.47,4
40.46 -74.295,110.3,110.3,1
40.805 -73.73,46.63,139.9,3
40.85 -74.135,27.19,135.97,5
40.4 -74.115,190.3,190.3,1
40.67 -73.775,26.73,828.58,31
40.935 -73.85,62.9,440.27,7
33.04 -57.015,9.96,9.96,1
40.87 -74.305,250.3,250.3,1
40.74 -73.99,13.57,11641673.84,857743
41.085 -73.59,7.3,7.3,1
41.225 -74.165,16.3,16.3,1
40.825 -73.855,21.04,1346.67,64
40.89 -73.97,53.34,266.7,5
40.665 -73.83,64.25,5718.32,89
40.655 -74.335,128.57,385.71,3
40.655 -74.18,105.88,105.88,1
40.71 -73.895,15.7,706.35,45
36.41 -73.135,19.56,19.56,1
4.095 -73.965,9.0,9.0,1
40.905 -74.13,12.97,38.9,3
40.7 -73.71,84.3,84.3,1
40.735 -73.445,94.99,284.98,3
41.065 -73.85,34.52,138.06,4
40.74 -74.395,181.68,363.35,2
40.795 -73.945,12.74,461056.23,36180
40.605 -74.225,29.8,29.8,1
40.78 -73.71,49.55,99.1,2
40.81 -73.74,95.84,95.84,1
40.685 -73.775,9.4,47.0,5
40.91 -73.455,34.3,34.3,1
40.695 -73.485,120.07,240.14,2
41.015 -73.98,74.63,149.26,2
40.655 -73.645,91.45,457.24,5
40.815 -74.215,103.25,619.5,6
41.16 -73.825,14.16,14.16,1
40.88 -74.7,311.3,311.3,1
40.99 -74.13,159.8,319.6,2
40.89 -74.33,8.57,8.57,1
40.64 -74.215,52.33,104.66,2
41.035 -73.925,108.35,108.35,1
40.77 -73.57,68.55,137.1,2
41.07 -73.51,196.04,196.04,1
41.055 -73.535,157.74,1892.93,12
40.81 -73.985,68.59,1851.9,27
40.66 -73.555,111.28,222.56,2
40.485 -74.275,165.3,165.3,1
40.93 -73.965,106.38,319.14,3
40.69 -73.58,0.3,0.3,1
40.62 -74.03,29.06,8282.92,285
40.665 -74.15,51.15,51.15,1
41.06 -73.86,102.49,512.45,5
40.635 -74.075,7.38,44.3,6
40.96 -74.305,40.3,40.3,1
40.85 -74.485,278.8,278.8,1
40.73 -0.115,18.8,18.8,1
40.775 -74.225,2.05,4.11,2
32.15 -63.295,7.8,7.8,1
40.825 -73.95,16.28,504660.22,31001
40.79 -73.665,101.03,202.06,2
40.655 -73.92,13.63,1990.22,146
40.735 -74.05,42.72,1324.35,31
40.89 -73.405,125.35,125.35,1
40.84 -74.205,52.3,104.6,2
40.665 -74.355,179.2,537.6,3
40.77 -73.765,14.87,267.58,18
40.62 -73.73,62.67,250.7,4
40.955 -74.36,114.75,229.49,2
40.715 -74.26,65.78,328.91,5
40.685 -73.645,0.3,0.3,1
40.75 -74.325,41.64,166.56,4
40.87 -74.4,225.8,225.8,1
40.66 -73.815,56.9,967.27,17
40.58 -73.935,42.45,127.36,3
40.975 -73.86,204.21,408.41,2
40.74 -73.755,25.71,205.64,8
41.04 -73.005,10.8,10.8,1
41.005 -73.755,186.0,186.0,1
40.75 -74.02,14.4,547.29,38
40.815 -73.805,7.3,7.3,1
40.475 -73.87,35.13,35.13,1
40.94 -73.765,109.63,328.9,3
40.925 -73.76,121.65,364.96,3
40.77 -73.76,25.2,50.4,2
40.865 -73.98,29.63,177.76,6
40.81 -74.37,10.8,10.8,1
40.395 -73.845,7.3,7.3,1
40.685 -74.245,127.55,127.55,1
40.99 -73.885,104.72,418.86,4
40.72 -73.425,210.96,210.96,1
40.895 -74.465,189.96,189.96,1
40.875 -74.135,65.3,65.3,1
40.865 -74.0,9.8,9.8,1
40.8 -64.55,6.8,6.8,1
40.665 -74.12,71.51,429.06,6
40.78 -74.17,65.3,130.6,2
40.74 -73.935,27.69,76460.01,2761
40.945 -74.26,7.8,7.8,1
40.815 -73.88,17.75,142.02,8
40.78 -73.56,135.97,543.86,4
41.03 -73.565,101.8,203.6,2
40.455 -74.295,140.05,140.05,1
41.03 -73.665,206.09,206.09,1
40.66 -73.74,26.35,263.49,10
40.74 -74.215,10.92,43.68,4
41.015 -73.68,132.84,132.84,1
40.895 -73.78,68.1,340.5,5
41.21 -74.13,11.0,11.0,1
40.815 -73.86,21.35,512.31,24
40.61 -73.78,15.24,121.89,8
40.595 -74.05,8.76,8.76,1
40.655 -74.275,9.05,18.1,2
40.665 -74.04,10.8,10.8,1
40.59 -74.15,70.3,70.3,1
40.83 -73.695,118.17,590.87,5
40.695 -73.86,18.73,917.67,49
40.865 -73.235,28.1,56.19,2
43.835 -74.74,9.8,9.8,1
40.915 -73.975,86.17,172.35,2
40.8 -74.31,285.3,285.3,1
40.355 -74.58,275.3,275.3,1
40.785 -73.715,73.95,221.85,3
40.8 -74.23,80.3,80.3,1
40.665 -73.945,15.33,3679.42,240
40.655 -69.535,6.3,6.3,1
40.345 -74.48,192.8,385.6,2
40.735 -73.375,31.97,95.9,3
40.83 -73.9,12.9,1844.92,143
40.665 -73.62,88.47,265.4,3
40.775 -74.26,140.05,140.05,1
40.555 -73.91,105.5,105.5,1
40.365 -74.005,39.96,39.96,1
40.955 -73.87,150.2,751.0,5
41.175 -73.99,9.8,9.8,1
40.78 -73.61,10.3,10.3,1
40.855 -74.085,38.27,153.07,4
40.925 -74.185,46.84,93.67,2
40.935 -73.77,64.95,129.89,2
41.01 -73.83,50.3,50.3,1
40.745 -73.965,18.75,4800.79,256
40.84 -74.245,8.3,8.3,1
40.875 -73.92,19.81,1069.64,54
41.085 -73.715,160.3,160.3,1
40.8 -74.1,65.3,65.3,1
39.855 -66.245,26.3,26.3,1
40.655 -74.0,16.7,7549.46,452
40.74 -73.545,186.36,186.36,1
40.9 -73.86,30.13,662.83,22
40.755 -74.035,39.15,2192.34,56
40.685 -73.945,15.35,22185.2,1445
40.795 -73.52,123.05,123.05,1
40.345 -74.66,326.76,326.76,1
40.74 -74.51,50.8,50.8,1
41.06 -73.83,74.86,149.72,2
40.77 -74.1,13.55,27.1,2
40.93 -73.76,85.31,1535.67,18
30.05 -77.85,14.04,14.04,1
40.82 -74.425,172.38,172.38,1
41.055 -73.83,113.47,453.89,4
40.99 -72.535,140.3,140.3,1
34.965 -69.14,13.8,13.8,1
40.78 -74.27,99.3,198.6,2
46.97 -75.265,26.8,26.8,1
41.19 -75.03,12.96,12.96,1
41.27 -73.97,8.16,8.16,1
40.81 -74.22,115.3,115.3,1
40.61 -73.725,26.47,238.21,9
40.73 -73.79,20.36,81.45,4
40.83 -74.175,6.3,6.3,1
40.795 -74.255,144.26,865.57,6
40.765 -73.515,3.3,3.3,1
40.64 -73.885,14.97,89.85,6
40.585 -73.71,88.82,177.64,2
40.685 -74.41,50.8,50.8,1
40.795 -73.99,15.44,633.19,41
40.68 -73.92,17.64,7446.01,422
41.18 -73.2,175.8,175.8,1
41.005 -73.91,100.3,100.3,1
40.785 -73.675,94.3,94.3,1
40.895 -74.075,78.95,710.58,9
38.015 -74.425,14.76,14.76,1
41.06 -74.125,222.12,444.23,2
45.33 -65.875,9.49,9.49,1
40.71 -74.265,7.97,23.9,3
40.58 -74.005,26.18,104.7,4
40.97 -74.08,121.43,242.85,2
40.86 -73.63,123.47,246.93,2
41.08 -73.48,265.8,265.8,1
40.81 -73.91,17.61,1302.79,74
40.62 -74.005,21.31,681.8,32
41.06 -74.06,190.55,381.1,2
40.81 -73.955,12.69,248761.77,19610
40.765 -73.68,34.8,34.8,1
40.85 -74.305,42.14,126.42,3
36.08 -77.31,5.8,5.8,1
41.05 -74.055,217.8,653.39,3
40.715 -73.9,14.74,4864.03,330
40.465 -74.29,180.3,180.3,1
42.755 -69.09,98.8,98.8,1
43.57 -68.07,6.3,6.3,1
40.15 -62.37,13.39,13.39,1
41.245 -73.92,131.05,262.1,2
40.715 -74.045,66.45,15150.52,228
40.585 -73.895,40.8,40.8,1
41.025 -73.79,123.89,123.89,1
41.02 -73.92,151.9,3949.4,26
40.81 -73.465,112.05,336.15,3
35.415 -71.685,7.3,7.3,1
40.775 -73.66,4.55,9.1,2
40.72 -74.105,9.38,18.76,2
40.795 -73.735,64.31,321.55,5
40.835 -73.72,83.3,83.3,1
40.755 -73.8,9.8,9.8,1
40.64 -74.195,52.8,52.8,1
40.735 -74.22,10.04,50.2,5
40.565 -74.195,241.99,241.99,1
40.92 -73.85,50.43,252.17,5
40.865 -73.93,20.36,40500.01,1989
40.88 -73.995,20.65,433.74,21
40.805 -74.0,8.55,85.55,10
39.245 -78.81,23.3,23.3,1
40.735 -73.965,13.36,1496.29,112
40.78 -73.555,220.33,220.33,1
40.55 -74.15,83.86,83.86,1
40.755 -73.57,2.3,4.6,2
41.495 -74.6,15.3,15.3,1
40.635 -74.365,155.3,155.3,1
40.72 -73.96,17.8,1027382.13,57714
40.645 -74.06,10.88,10.88,1
40.395 -73.835,8.76,8.76,1
40.695 -73.28,200.3,200.3,1
40.63 -74.145,6.8,6.8,1
40.74 -73.715,14.29,514.39,36
40.88 -74.195,20.3,20.3,1
40.785 -73.82,19.56,136.93,7
27.395 -56.48,18.8,18.8,1
40.865 -73.935,26.39,950.22,36
40.64 -73.615,72.68,145.36,2
40.845 -73.92,16.6,5377.97,324
40.865 -74.04,44.92,89.85,2
40.895 -74.72,230.8,230.8,1
40.695 -74.115,9.97,29.9,3
40.63 -73.905,26.07,703.89,27
40.88 -73.975,83.73,418.64,5
40.385 -74.015,10.8,10.8,1
40.655 -73.595,87.3,174.6,2
41.06 -73.815,96.43,385.72,4
40.63 -73.75,58.34,58.34,1
40.93 -73.81,59.11,295.53,5
40.805 -73.935,15.24,287100.35,18841
40.84 -74.03,10.3,10.3,1
40.67 -73.825,17.13,188.38,11
40.42 -74.56,189.3,189.3,1
20.345 -93.725,10.3,10.3,1
39.715 -73.97,5.3,5.3,1
40.955 -74.295,0.3,0.3,1
40.49 -74.08,6.36,6.36,1
40.48 -74.05,15.3,15.3,1
40.43 -73.995,13.8,13.8,1
35.94 -72.755,10.3,10.3,1
41.41 -74.82,9.3,9.3,1
40.7 -74.095,37.64,564.54,15
35.3 -80.97,4.3,4.3,1
40.825 -73.935,13.99,20331.91,1453
40.87 -73.82,14.45,28.9,2
40.83 -74.015,12.72,114.44,9
40.79 -73.925,38.18,47118.22,1234
41.005 -73.795,55.43,221.71,4
40.69 -74.07,53.65,375.57,7
40.615 -73.97,18.68,1980.53,106
40.93 -73.73,65.05,130.1,2
40.585 -73.965,19.72,2524.77,128
37.255 -73.87,15.8,15.8,1
40.74 -74.325,150.8,150.8,1
40.73 -73.665,126.05,126.05,1
40.865 -74.24,117.05,117.05,1
40.93 -74.125,30.92,278.31,9
40.635 -74.215,12.36,12.36,1
40.675 -74.2,133.19,1198.74,9
40.68 -74.12,20.61,41.22,2
25.19 -88.835,9.8,9.8,1
40.685 -74.195,107.47,9994.87,93
40.715 -73.89,15.07,135.66,9
40.755 -73.925,14.32,90422.35,6315
40.685 -73.725,42.42,890.78,21
41.12 -73.425,206.32,206.32,1
40.665 -73.64,101.48,304.45,3
40.67 -73.92,14.67,2889.44,197
40.56 -74.21,9.36,9.36,1
40.88 -73.93,12.47,62.33,5
38.415 -68.755,14.16,14.16,1
40.775 -73.48,89.97,1889.45,21
41.15 -74.11,14.76,14.76,1
43.09 -68.625,8.76,8.76,1
40.81 -74.23,164.92,164.92,1
40.65 -73.675,52.32,104.65,2
40.735 -73.975,14.7,1122046.91,76323
40.635 -73.945,19.98,3157.48,158
40.855 -74.42,100.3,100.3,1
40.66 -74.105,46.05,92.1,2
40.73 -73.715,20.63,61.9,3
40.605 -73.74,68.81,275.25,4
40.575 -74.0,19.5,292.48,15
41.065 -73.65,258.99,258.99,1
40.695 -73.71,71.83,215.5,3
40.775 -73.95,14.0,6536117.5,466753
40.72 -74.0,14.91,5646100.37,378779
42.19 -66.91,7.8,7.8,1
40.735 -73.945,13.81,1408.35,102
40.74 -73.77,29.55,59.1,2
40.85 -73.83,25.55,817.49,32
40.83 -73.96,11.87,35.6,3
40.685 -74.375,12.3,12.3,1
40.7 -73.7,27.8,27.8,1
40.8 -73.93,25.34,45517.16,1796
39.76 -60.91,17.8,17.8,1
41.0 -73.73,96.35,96.35,1
40.705 -73.48,140.3,140.3,1
41.0 -74.11,105.39,210.79,2
38.935 -69.925,11.3,11.3,1
40.705 -73.78,28.55,428.22,15
40.71 -73.565,86.8,86.8,1
40.91 -73.855,31.45,251.62,8
40.84 -73.92,14.27,4638.76,325
40.855 -73.89,15.96,1724.21,108
40.91 -73.78,93.07,2326.64,25
40.72 -74.035,67.94,19636.06,289
40.86 -73.625,138.3,138.3,1
40.41 -74.42,297.1,297.1,1
30.13 -77.97,5.8,5.8,1
40.72 -74.345,107.13,321.4,3
40.675 -74.04,10.89,76.22,7
37.81 -73.175,58.34,58.34,1
40.285 -74.655,220.3,220.3,1
40.77 -73.875,43.91,362368.8,8252
40.615 -74.135,29.94,119.78,4
41.07 -73.86,186.35,186.35,1
36.83 -76.64,13.8,13.8,1
40.67 -74.36,110.05,110.05,1
40.61 -73.755,32.3,64.6,2
41.01 -73.905,17.16,17.16,1
40.78 -73.81,31.84,95.52,3
41.03 -73.715,128.3,128.3,1
40.905 -73.9,23.22,301.89,13
41.21 -73.73,185.3,185.3,1
40.515 -73.71,8.8,17.6,2
40.69 -74.415,127.8,127.8,1
40.605 -73.99,26.85,2148.19,80
40.655 -73.48,130.3,130.3,1
40.91 -73.955,81.13,324.51,4
40.595 -74.8,50.3,100.61,2
40.8 -73.38,0.3,0.3,1
40.745 -74.065,17.1,85.5,5
41.065 -73.585,95.3,95.3,1
40.665 -74.38,63.3,63.3,1
40.785 -73.585,90.8,272.4,3
