Block,Average Revenue,Total Revenue,Ride Count
40.75 -73.985,14.45,10845816.19,750517
40.895 -73.915,19.29,96.44,5
40.54 -74.2,15.95,31.9,2
40.79 -73.84,21.12,168.99,8
40.635 -73.68,23.15,69.46,3
33.815 -76.21,9.36,9.36,1
40.68 -74.28,140.3,140.3,1
40.745 -73.98,13.27,11803781.05,889740
40.64 -74.065,8.3,8.3,1
41.015 -73.71,125.36,877.55,7
40.715 -74.08,49.55,198.2,4
40.77 -74.135,77.05,77.05,1
40.645 -74.345,85.0,85.0,1
40.8 -74.205,125.16,125.16,1
40.655 -73.99,9.8,19.6,2
37.965 -76.005,14.3,14.3,1
40.635 -74.28,28.56,28.56,1
40.845 -74.455,215.44,430.89,2
40.69 -74.55,194.4,194.4,1
41.055 -73.695,118.57,474.26,4
42.125 -74.05,16.82,84.08,5
41.01 -74.105,187.25,187.25,1
40.68 -73.685,64.19,449.33,7
40.84 -73.91,14.56,1645.48,113
40.7 -74.1,12.36,37.08,3
40.765 -73.965,11.65,8608595.94,739084
41.015 -74.065,63.36,63.36,1
40.675 -74.75,275.3,275.3,1
39.795 -74.235,52.8,52.8,1
40.765 -73.91,15.95,36568.66,2292
40.74 -73.97,16.21,17848.61,1101
40.945 -74.07,86.3,86.3,1
40.585 -74.255,78.5,156.99,2
41.045 -73.69,156.11,5307.8,34
40.62 -73.895,88.33,794.95,9
40.71 -73.755,79.36,158.72,2
40.87 -73.525,0.31,0.31,1
40.625 -74.415,120.55,241.1,2
38.905 -61.345,9.5,9.5,1
40.715 -74.235,59.07,118.15,2
40.7 -73.89,16.46,1497.65,91
40.685 -73.79,27.19,299.1,11
40.865 -74.055,36.79,110.36,3
40.895 -74.0,72.36,72.36,1
41.145 -73.43,222.71,668.12,3
40.925 -73.82,54.33,325.99,6
41.225 -73.39,13.3,13.3,1
40.77 -73.87,44.59,310678.09,6968
40.785 -73.735,4.3,4.3,1
40.645 -73.78,55.81,24147559.94,432704
40.64 -74.115,20.3,40.6,2
40.72 -73.865,17.13,5790.17,338
40.735 -73.925,45.04,42385.44,941
40.605 -73.96,18.09,2677.11,148
40.975 -73.765,7.8,7.8,1
40.625 -73.535,36.33,72.66,2
40.65 -73.915,15.73,818.05,52
40.71 -74.02,18.16,118336.04,6518
40.69 -74.09,26.0,494.04,19
40.78 -73.265,155.8,155.8,1
40.89 -73.805,88.51,531.04,6
34.24 -82.585,14.65,14.65,1
41.12 -74.0,212.76,212.76,1
40.805 -73.83,36.37,327.36,9
43.14 -62.67,7.8,15.6,2
40.68 -73.485,4.8,4.8,1
40.595 -73.785,46.36,231.82,5
40.18 -74.07,9.8,19.6,2
40.755 -73.85,40.93,9740.17,238
40.72 -73.94,16.87,57589.46,3413
40.665 -74.185,81.55,163.1,2
41.085 -73.645,180.36,180.36,1
40.68 -74.205,73.8,295.21,4
40.805 -73.92,18.37,10819.26,589
40.96 -73.875,73.4,293.6,4
40.77 -73.685,455.39,455.39,1
42.03 -65.785,7.3,7.3,1
40.96 -73.975,8.8,8.8,1
40.7 -74.3,9.8,29.4,3
40.81 -73.755,22.0,22.0,1
40.79 -73.715,101.15,303.46,3
37.575 -75.025,8.16,8.16,1
40.705 -73.83,18.41,5137.1,279
40.745 -73.92,16.96,731768.9,43152
40.67 -73.525,117.4,587.0,5
40.64 -74.08,41.65,124.95,3
40.575 -73.84,60.3,60.3,1
41.09 -73.805,163.05,326.1,2
40.895 -73.83,59.55,119.1,2
40.635 -73.91,21.14,697.5,33
40.86 -74.135,7.3,7.3,1
40.615 -73.76,9.89,59.36,6
38.01 -51.265,21.36,21.36,1
40.755 -73.04,6.8,6.8,1
40.665 -73.735,54.02,1620.62,30
40.665 -73.725,17.86,303.7,17
40.575 -73.99,36.05,1442.0,40
40.635 -73.73,51.8,103.6,2
40.84 -74.095,36.14,216.85,6
40.82 -74.105,70.75,424.48,6
40.66 -74.07,13.56,13.56,1
39.87 -66.02,11.16,11.16,1
69.705 -171.795,12.06,289.44,24
40.61 -74.115,25.65,128.26,5
40.745 -74.01,15.31,1180863.37,77108
41.0 -74.185,10.3,10.3,1
40.635 -73.585,84.3,84.3,1
40.74 -73.69,104.05,208.1,2
41.025 -73.575,66.8,200.4,3
40.875 -74.04,106.14,530.71,5
41.38 -75.255,3.8,3.8,1
40.745 -73.575,140.3,140.3,1
40.785 -73.995,14.56,771.85,53
40.645 -74.215,175.35,175.35,1
40.79 -74.08,19.89,19.89,1
30.46 -74.76,9.96,9.96,1
40.79 -74.14,9.96,9.96,1
40.38 -74.515,250.3,250.3,1
40.51 -74.375,100.3,100.3,1
41.49 -73.62,27.3,27.3,1
40.65 -73.94,12.35,802.7,65
40.7 -74.32,15.8,15.8,1
40.77 -74.04,44.41,1554.29,35
40.635 -74.03,25.2,2847.16,113
40.64 -73.935,18.12,561.76,31
42.77 -78.115,12.36,12.36,1
40.285 -74.3,332.76,332.76,1
40.57 -74.09,13.05,26.1,2
41.0 -74.105,144.35,144.35,1
40.22 -74.66,364.3,364.3,1
40.76 -74.21,117.65,117.65,1
40.415 -73.97,17.76,17.76,1
40.69 -73.89,31.17,498.75,16
40.76 -74.385,6.36,6.36,1
40.965 -74.105,128.11,128.11,1
40.97 -74.03,41.18,164.72,4
40.905 -74.055,88.22,176.45,2
40.8 -73.935,13.21,520432.36,39396
40.85 -74.03,91.03,182.06,2
40.345 -74.075,175.3,175.3,1
40.765 -74.05,65.37,2418.74,37
40.935 -74.125,180.3,180.3,1
40.71 -73.675,96.35,96.35,1
40.305 -74.48,15.05,15.05,1
40.7 -73.785,21.78,152.49,7
40.73 -73.58,8.8,8.8,1
40.665 -74.205,14.65,29.3,2
40.72 -74.285,53.16,159.48,3
40.745 -73.995,13.27,9427011.55,710384
40.67 -74.21,14.3,28.6,2
31.2 -69.29,14.8,14.8,1
41.145 -73.575,7.8,7.8,1
40.94 -74.11,110.8,110.8,1
40.78 -73.535,94.05,188.1,2
40.575 -73.935,52.56,52.56,1
40.625 -73.74,28.42,170.5,6
40.78 -73.725,59.67,298.35,5
39.36 -74.435,3.3,3.3,1
40.935 -73.755,145.44,1454.41,10
43.9 -72.32,8.5,8.5,1
40.56 -74.3,26.05,26.05,1
40.54 -74.31,101.58,203.16,2
40.715 -74.015,18.92,8186560.92,432610
41.105 -73.425,116.3,116.3,1
40.71 -73.73,31.54,567.71,18
40.565 -74.76,6.38,12.76,2
40.815 -73.99,40.03,880.73,22
39.655 -69.235,20.3,20.3,1
40.625 -73.7,53.3,106.6,2
40.67 -73.875,16.87,522.84,31
40.76 -74.395,18.96,18.96,1
